INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
163660012,12/31/2016,12:55 AM,6,SIMPLE ASSAULT,,,,,6044 S 27TH ST #4
163660031,12/31/2016,06:12 AM,6,THEFT FROM COIN-OPPERATED MACHINES,,,,,3425 W OKLAHOMA AV
163660032,12/31/2016,07:54 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2305 W VERONA CT
163660034,12/31/2016,08:22 AM,6,THEFT FROM BUILDING,,,,,2939 S 50TH ST
163660040,12/31/2016,10:24 AM,6,THEFT FROM BUILDING,,,,,2631 S 71ST ST
163660043,12/31/2016,11:25 AM,6,SIMPLE ASSAULT,,,,,1333 W EDGERTON AV #6
163660062,12/31/2016,02:37 PM,6,AGGRAVATED ASSAULT,,,,,3156 S 13TH ST #15
163660069,12/31/2016,04:18 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,312 W PLAINFIELD AV
163660089,12/31/2016,06:54 PM,6,SIMPLE ASSAULT,,,,,3119 S 19TH ST
163650044,12/30/2016,10:33 AM,6,ROBBERY,,,,,2907 S 16TH ST
163650046,12/30/2016,10:53 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6800 W OKLAHOMA AV
163650063,12/30/2016,02:37 PM,6,MOTOR VEHICLE THEFT,,,,,3173 S 10TH ST
163650076,12/30/2016,03:47 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6401 S 13TH ST
163650078,12/30/2016,04:01 PM,6,AGGRAVATED ASSAULT,,,,,1510 W MANITOBA ST
163650129,12/30/2016,11:57 PM,6,ROBBERY,,,,,323 W OKLAHOMA AV
163630150,12/29/2016,01:43 AM,6,AGGRAVATED ASSAULT,,,,,2400 W LAYTON AV
163640018,12/29/2016,07:28 AM,6,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,3166 S 43RD ST
163640025,12/29/2016,09:16 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,2690 S KINNICKINNIC AV
163640048,12/29/2016,01:43 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3430 S 6TH ST
163640051,12/29/2016,01:59 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5301 W OHIO AV
163640054,12/29/2016,02:13 PM,6,THEFT FROM MOTOR VEHICLE,,,,,2955 S 44TH ST
163640055,12/29/2016,03:02 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6215 W WARNIMONT AV
163640066,12/29/2016,03:19 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3638 S 61ST ST
163640067,12/29/2016,04:50 PM,6,INTIMIDATION,,,,,3543 S 79TH ST
163650001,12/29/2016,10:58 PM,6,THEFT FROM MOTOR VEHICLE,,,,,2900 W OKLAHOMA AV
163630024,12/28/2016,07:41 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2437 S SUPERIOR ST
163630030,12/28/2016,06:46 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4525 S 5TH ST
163630035,12/28/2016,10:38 AM,6,FORCIBLE FONDLING,,,,,
163630036,12/28/2016,10:08 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2851 S 7TH ST
163630043,12/28/2016,09:41 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,2783 S SUPERIOR ST
163630077,12/28/2016,03:24 PM,6,ROBBERY,,,,,3847 S 20TH PL
163630079,12/28/2016,03:45 PM,6,AGGRAVATED ASSAULT,,,,,2220 S MOUND ST
163630086,12/28/2016,04:51 PM,6,ALL OTHER LARCENY,,,,,2952 S 15TH ST
163630089,12/28/2016,05:03 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3264 W LAKEFIELD DR
163630152,12/28/2016,09:27 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2832 S 7TH ST
163620008,12/27/2016,01:20 AM,6,SIMPLE ASSAULT,,,,,4295-F S WHITNALL AV
163620026,12/27/2016,06:47 AM,6,SHOPLIFTING,,,,,150 W HOLT AV
163620048,12/27/2016,10:15 AM,6,SHOPLIFTING,,,,,150 W HOLT AV
163620089,12/27/2016,01:58 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3502 S 14TH ST
163620129,12/27/2016,07:47 PM,6,THEFT FROM MOTOR VEHICLE,,,,,5311 S HOWELL AV
163620151,12/27/2016,09:53 PM,6,FORCIBLE FONDLING,,,,,
163630009,12/27/2016,10:40 PM,6,ROBBERY,,,,,6500 W EUCLID AV
163610041,12/26/2016,09:35 AM,6,SIMPLE ASSAULT,,,,,3300 S 27TH ST
163610055,12/26/2016,11:07 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2515 S HOWELL AV
163610057,12/26/2016,10:40 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3857 S MINER ST #4
163610069,12/26/2016,12:35 PM,6,THEFT FROM MOTOR VEHICLE,,,,,140 W HOLT AV
163610070,12/26/2016,12:59 PM,6,MOTOR VEHICLE THEFT,,,,,3052 S 16TH ST
163610080,12/26/2016,01:19 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3686 S 5TH ST
163610090,12/26/2016,02:40 PM,6,INTIMIDATION,,,,,3387 S HOWELL AV
163610106,12/26/2016,05:08 PM,6,MOTOR VEHICLE THEFT,,,,,3402 S WHITNALL AV
163600015,12/25/2016,01:50 AM,6,MOTOR VEHICLE THEFT,,,,,3225 S HOWELL AV
163600039,12/25/2016,11:37 AM,6,MOTOR VEHICLE THEFT,,,,,4601 S 1ST ST
163600073,12/25/2016,08:22 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,5715 S 20TH ST
163590019,12/24/2016,05:38 AM,6,SIMPLE ASSAULT,,,,,2814 S 58TH ST
163590035,12/24/2016,11:05 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3584 S 93RD ST
163580008,12/23/2016,12:26 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4934 W FOREST HOME AV
163580017,12/23/2016,01:55 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3011 S CLEMENT AV
163580032,12/23/2016,08:47 AM,6,MOTOR VEHICLE THEFT,,,,,4124 W OKLAHOMA AV
163580034,12/23/2016,09:18 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6955 W TESCH AV
163580040,12/23/2016,10:42 AM,6,ALL OTHER LARCENY,,,,,3900 S 27TH ST
163580071,12/23/2016,01:45 PM,6,SHOPLIFTING,,,,,3737 S 27TH ST
163580073,12/23/2016,03:06 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3411 S 14TH ST
163580077,12/23/2016,02:19 PM,6,ALL OTHER LARCENY,,,,,619 E POTTER AV
163580092,12/23/2016,04:53 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3782 S 25TH ST
163580094,12/23/2016,05:04 PM,6,ALL OTHER LARCENY,,,,,4150 S 52ND ST
163580096,12/23/2016,06:12 PM,6,THEFT FROM BUILDING,,,,,4040 S 27TH ST
163580106,12/23/2016,05:17 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,1559 W BOLIVAR AV
163570018,12/22/2016,04:15 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,6348 W EUCLID AV
163570021,12/22/2016,05:41 AM,6,THEFT FROM MOTOR VEHICLE,,,,,6333 W EUCLID AV
163570093,12/22/2016,02:00 PM,6,SIMPLE ASSAULT,,,,,2419 S WOODWARD ST
163570114,12/22/2016,05:34 PM,6,ROBBERY,,,,,5730 W OKLAHOMA AV
163570130,12/22/2016,05:42 PM,6,ALL OTHER LARCENY,,,,,525 E PLAINFIELD AV
163570145,12/22/2016,08:38 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,2729 S TAYLOR AV
163570153,12/22/2016,08:57 PM,6,INTIMIDATION,,,,,3225 S 84TH ST #2
163560001,12/21/2016,12:15 AM,6,MOTOR VEHICLE THEFT,,,,,3330 S 30TH ST
163560005,12/21/2016,12:37 AM,6,SHOPLIFTING,,,,,800 E LAYTON AV
163560008,12/21/2016,12:16 AM,6,INTIMIDATION,,,,,956 W OKLAHOMA AV
163560012,12/21/2016,02:00 AM,6,ROBBERY,,,,,3106 S 99TH ST
163560021,12/21/2016,08:15 AM,6,THEFT FROM BUILDING,,,,,3540 S 43RD ST
163560027,12/21/2016,10:05 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3565 S 20TH ST
163560074,12/21/2016,03:19 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3023 S 39TH ST
163560079,12/21/2016,05:25 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2325 S HOWELL AV
163540094,12/20/2016,12:13 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3376 S 11TH ST
163550023,12/20/2016,04:30 PM,6,ROBBERY,,,,,3860 S 74TH ST
163550029,12/20/2016,10:49 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,7501 W HONEY CREEK DR
163550058,12/20/2016,03:53 PM,6,ROBBERY,,,,,401 W OKLAHOMA AV
163550121,12/20/2016,09:20 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,2812 W HOWARD AV #6
163540025,12/19/2016,10:14 AM,6,MOTOR VEHICLE THEFT,,,,,3741 S 61ST ST
163540043,12/19/2016,01:32 PM,6,THEFT FROM BUILDING,,,,,3809 S MINER ST #7
163540045,12/19/2016,01:37 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3309 S 35TH ST
163540045,12/19/2016,01:37 PM,6,SIMPLE ASSAULT,BURGLARY/BREAKING AND ENTERING,,,,3309 S 35TH ST
163540053,12/19/2016,02:31 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,2230 W LAYTON AV #105
163540068,12/19/2016,04:37 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3517 S 15TH PL
163540070,12/19/2016,04:58 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3406 S 39TH ST
163540071,12/19/2016,02:54 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,1010 W LAYTON AV
163550013,12/19/2016,01:54 AM,6,FORCIBLE FONDLING,,,,,
163530025,12/18/2016,07:41 AM,6,AGGRAVATED ASSAULT,,,,,4417 S LOUISIANA AV
163530049,12/18/2016,04:03 PM,6,MOTOR VEHICLE THEFT,,,,,4204 W HOWARD AV
